id	locationID	countryCode	threatStatus
494	ISO_3166-2:IS	IS	Least Concern
495	ISO_3166-2:IS	IS	Least Concern
496	ISO_3166-2:IS	IS	Least Concern
551	ISO_3166-2:IS	IS	Least Concern
376	ISO_3166-2:IS	IS	Least Concern
42	ISO_3166-2:IS	IS	Least Concern
43	ISO_3166-2:IS	IS	Least Concern
188	ISO_3166-2:IS	IS	Least Concern
189	ISO_3166-2:IS	IS	Least Concern
190	ISO_3166-2:IS	IS	Least Concern
191	ISO_3166-2:IS	IS	Least Concern
228	ISO_3166-2:IS	IS	Least Concern
229	ISO_3166-2:IS	IS	Least Concern
622	ISO_3166-2:IS	IS	Least Concern
455	ISO_3166-2:IS	IS	Least Concern
456	ISO_3166-2:IS	IS	Least Concern
459	ISO_3166-2:IS	IS	Least Concern
460	ISO_3166-2:IS	IS	Least Concern
461	ISO_3166-2:IS	IS	Least Concern
463	ISO_3166-2:IS	IS	Least Concern
10	ISO_3166-2:IS	IS	Least Concern
11	ISO_3166-2:IS	IS	Least Concern
12	ISO_3166-2:IS	IS	Least Concern
13	ISO_3166-2:IS	IS	Least Concern
14	ISO_3166-2:IS	IS	Least Concern
15	ISO_3166-2:IS	IS	Least Concern
16	ISO_3166-2:IS	IS	Least Concern
18	ISO_3166-2:IS	IS	Least Concern
769	ISO_3166-2:IS	IS	Least Concern
771	ISO_3166-2:IS	IS	Least Concern
770	ISO_3166-2:IS	IS	Least Concern
772	ISO_3166-2:IS	IS	Least Concern
192	ISO_3166-2:IS	IS	Least Concern
193	ISO_3166-2:IS	IS	Least Concern
500	ISO_3166-2:IS	IS	Least Concern
726	ISO_3166-2:IS	IS	Least Concern
728	ISO_3166-2:IS	IS	Least Concern
729	ISO_3166-2:IS	IS	Least Concern
233	ISO_3166-2:IS	IS	Least Concern
235	ISO_3166-2:IS	IS	Least Concern
378	ISO_3166-2:IS	IS	Least Concern
380	ISO_3166-2:IS	IS	Least Concern
636	ISO_3166-2:IS	IS	Least Concern
638	ISO_3166-2:IS	IS	Least Concern
641	ISO_3166-2:IS	IS	Least Concern
642	ISO_3166-2:IS	IS	Least Concern
643	ISO_3166-2:IS	IS	Least Concern
646	ISO_3166-2:IS	IS	Least Concern
647	ISO_3166-2:IS	IS	Least Concern
648	ISO_3166-2:IS	IS	Least Concern
649	ISO_3166-2:IS	IS	Least Concern
650	ISO_3166-2:IS	IS	Least Concern
452	ISO_3166-2:IS	IS	Least Concern
383	ISO_3166-2:IS	IS	Least Concern
236	ISO_3166-2:IS	IS	Least Concern
31	ISO_3166-2:IS	IS	Least Concern
624	ISO_3166-2:IS	IS	Least Concern
808	ISO_3166-2:IS	IS	Least Concern
237	ISO_3166-2:IS	IS	Least Concern
677	ISO_3166-2:IS	IS	Least Concern
679	ISO_3166-2:IS	IS	Least Concern
567	ISO_3166-2:IS	IS	Least Concern
1	ISO_3166-2:IS	IS	Least Concern
3	ISO_3166-2:IS	IS	Least Concern
7	ISO_3166-2:IS	IS	Least Concern
117	ISO_3166-2:IS	IS	Least Concern
119	ISO_3166-2:IS	IS	Least Concern
118	ISO_3166-2:IS	IS	Least Concern
120	ISO_3166-2:IS	IS	Least Concern
121	ISO_3166-2:IS	IS	Least Concern
122	ISO_3166-2:IS	IS	Least Concern
124	ISO_3166-2:IS	IS	Least Concern
125	ISO_3166-2:IS	IS	Least Concern
126	ISO_3166-2:IS	IS	Least Concern
128	ISO_3166-2:IS	IS	Least Concern
129	ISO_3166-2:IS	IS	Least Concern
131	ISO_3166-2:IS	IS	Least Concern
132	ISO_3166-2:IS	IS	Least Concern
79	ISO_3166-2:IS	IS	Least Concern
80	ISO_3166-2:IS	IS	Least Concern
625	ISO_3166-2:IS	IS	Least Concern
529	ISO_3166-2:IS	IS	Least Concern
340	ISO_3166-2:IS	IS	Least Concern
341	ISO_3166-2:IS	IS	Least Concern
342	ISO_3166-2:IS	IS	Least Concern
243	ISO_3166-2:IS	IS	Least Concern
1150	ISO_3166-2:IS	IS	Least Concern
702	ISO_3166-2:IS	IS	Least Concern
444	ISO_3166-2:IS	IS	Least Concern
680	ISO_3166-2:IS	IS	Least Concern
651	ISO_3166-2:IS	IS	Least Concern
133	ISO_3166-2:IS	IS	Least Concern
134	ISO_3166-2:IS	IS	Least Concern
135	ISO_3166-2:IS	IS	Least Concern
136	ISO_3166-2:IS	IS	Least Concern
137	ISO_3166-2:IS	IS	Least Concern
4	ISO_3166-2:IS	IS	Least Concern
5	ISO_3166-2:IS	IS	Least Concern
612	ISO_3166-2:IS	IS	Least Concern
731	ISO_3166-2:IS	IS	Least Concern
742	ISO_3166-2:IS	IS	Least Concern
659	ISO_3166-2:IS	IS	Least Concern
311	ISO_3166-2:IS	IS	Least Concern
312	ISO_3166-2:IS	IS	Least Concern
313	ISO_3166-2:IS	IS	Least Concern
250	ISO_3166-2:IS	IS	Least Concern
608	ISO_3166-2:IS	IS	Least Concern
663	ISO_3166-2:IS	IS	Least Concern
336	ISO_3166-2:IS	IS	Least Concern
337	ISO_3166-2:IS	IS	Least Concern
251	ISO_3166-2:IS	IS	Least Concern
106	ISO_3166-2:IS	IS	Least Concern
982	ISO_3166-2:IS	IS	Least Concern
983	ISO_3166-2:IS	IS	Least Concern
984	ISO_3166-2:IS	IS	Least Concern
626	ISO_3166-2:IS	IS	Least Concern
627	ISO_3166-2:IS	IS	Least Concern
530	ISO_3166-2:IS	IS	Least Concern
283	ISO_3166-2:IS	IS	Least Concern
285	ISO_3166-2:IS	IS	Least Concern
416	ISO_3166-2:IS	IS	Least Concern
